inp	gt
04.1234567	04.1234567
04.36658618	04.36658618
04.36658622	04.36658622
04.37626607	04.37626607
04.3836.48.48	04.3836.48.48
04.38574597	04.38574597
04.38700700	04.38700700
04.39785088	04.39785088
04.6.257.1800	04.6.257.1800
04.6.257.1810	04.6.257.1810
04.64.972.822	04.64.972.822
04.8682655	04.8682655
04/11/2018	04/11/2018
04/5/2013	04/5/2013
040	040
0422161216	0422161216
043 8310 668	043 8310 668
043.793.2008	043.793.2008
043.793.2009	043.793.2009
043.998.6666	043.998.6666
0435.505255-	0435.505255-
0435587289	0435587289
043745	043745
0437633428	0437633428
0437877502	0437877502
0437877503	0437877503
0438348541	0438348541
0438392333-	0438392333-
0462	0462
0463.299 269 -	0463.299 269 -
046684860	046684860
048.38342917	048.38342917
0481	0481
05	05
05 : 00	05 : 00
05/05	05/05
050.825 184	050.825 184
050.825 185	050.825 185
0500	0500
0500.3783020	0500.3783020
0510.861151	0510.861151
05103919229	05103919229
05103938838	05103938838
0511. 3538 789	0511. 3538 789
0511.1234567	0511.1234567
0511.31234567	0511.31234567
0511.3815.565	0511.3815.565
0511.3836169	0511.3836169
0511.3836255	0511.3836255
0528	0528
053.3686097	053.3686097
053.3876626	053.3876626
0534	0534
0536	0536
0538	0538
0539	0539
054.3618310	054.3618310
054.3822044	054.3822044
054.38616	054.38616
0540	0540
0541	0541
055	055
0553. 50 50 75	0553. 50 50 75
0553505074	0553505074
056.08	056.08
0583.871197	0583.871197
059	059
059.59	059.59
05A	05A
05B	05B
05C	05C
05h30	05h30
06	06
0603 862 835	0603 862 835
061.3.854.444	061.3.854.444
061.3.965.555	061.3.965.555
061.3.965.666	061.3.965.666
06133552702	06133552702
063 . 6521 588	063 . 6521 588
063.3989342	063.3989342
0643.661.123	0643.661.123
0646.891.737	0646.891.737
0646.891.738	0646.891.738
065.3642604	065.3642604
0650.3642604	0650.3642604
06503749424443	06503749424443
0656268888	0656268888
066	066
066.34	066.34
0698	0698
06:00	06:00
07	07
07/09/2019	07/09/2019
070	070
070.	070.
070.3822	070.3822
070.3822755	070.3822755
070.3824431	070.3824431
070.3830798	070.3830798
070.3837339	070.3837339
070.383806	070.383806
070.3838699-	070.3838699-
070.3842724	070.3842724
070.3852586	070.3852586
070.6250125	070.6250125
070.822754	070.822754
070.853523	070.853523
0700826352	0700826352
0702 200 670	0702 200 670
0702 219 670	0702 219 670
0702.213562	0702.213562
0702.480649	0702.480649
0702.481 676-	0702.481 676-
0703	0703
0703 825 761 -	0703 825 761 -
0703 827.146 -	0703 827.146 -
0703 843 170	0703 843 170
0703 868 779	0703 868 779
0703 878 777	0703 878 777
0703 878838	0703 878838
0703 888 479	0703 888 479
0703. 837027	0703. 837027
0703.601688	0703.601688
0703.811064	0703.811064
0703.811878	0703.811878
0703.815.466	0703.815.466
0703.820550	0703.820550
0703.822320	0703.822320
0703.822384	0703.822384
0703.824132	0703.824132
0703.824957	0703.824957
0703.825 402	0703.825 402
0703.826.346	0703.826.346
0703.826326	0703.826326
0703.828239	0703.828239
0703.828241	0703.828241
0703.833939	0703.833939
0703.837.339	0703.837.339
0703.838697	0703.838697
0703.843 195	0703.843 195
0703.843 196	0703.843 196
0703.843668	0703.843668
0703.852	0703.852
0703.852545	0703.852545
0703.862324	0703.862324
0703.862341	0703.862341
0703.877.227	0703.877.227
0703.880073	0703.880073
0703.8880.052	0703.8880.052
0703.895655	0703.895655
0703.947879	0703.947879
0703.949.616	0703.949.616
0703820541	0703820541
0703823252	0703823252
0703823848	0703823848
0703823953.	0703823953.
0703824786	0703824786
0703824928	0703824928
0703838485	0703838485
0703877067	0703877067
0703913888	0703913888
0706.250169	0706.250169
0706.277.277	0706.277.277
0706.289612	0706.289612
0706.552268	0706.552268
070852592	070852592
072.3638706	072.3638706
072.3638707	072.3638707
072.3638708	072.3638708
0723731117	0723731117
073.3822.198	073.3822.198
0733836975	0733836975
073946352	073946352
075.2214272	075.2214272
076	076
076.71	076.71
0763.879205	0763.879205
0773	0773
078	078
079.61	079.61
0797189079	0797189079
08	08
08'	08'
08)39142116	08)39142116
08,	08,
08.37205467	08.37205467
08.3860.3368	08.3860.3368
08.38942500	08.38942500
08.39453229	08.39453229
08.39969383	08.39969383
08.54254520	08.54254520
08.62739292	08.62739292
08.6289.8866	08.6289.8866
08.73041413	08.73041413
08.73071413	08.73071413
08/01/2019	08/01/2019
080.26	080.26
0815.002.005	0815.002.005
082	082
0822.16.26.26	0822.16.26.26
0822301666	0822301666
0836.918833	0836.918833
0837205468	0837205468
0837246731	0837246731
0837760669	0837760669
0839.83.8888	0839.83.8888
0839102544	0839102544
0839111501	0839111501
0858	0858
086.586.7279	086.586.7279
0866	0866
0866464688	0866464688
0867	0867
0867807663	0867807663
0868	0868
0868 868 899	0868 868 899
0868.131.363	0868.131.363
0869995296	0869995296
0886550560	0886550560
08:	08:
08:00	08:00
08H	08H
08h	08h
09	09
09'58	09'58
"09'58'00"""	"09'58'00"""
09/05/2017	09/05/2017
090	090
090.464.1470	090.464.1470
090.550.8784	090.550.8784
0901.550	0901.550
0901414189	0901414189
0901446131	0901446131
0901888366	0901888366
0902	0902
0902.361.731	0902.361.731
0902.45	0902.45
0902.995 245	0902.995 245
09024858	09024858
0902640299	0902640299
0902774680	0902774680
0902828380-	0902828380-
0903309121	0903309121
0903611961	0903611961
0904047557	0904047557
09041	09041
0904418907	0904418907
0905 694 684	0905 694 684
0905.8	0905.8
0905.871198	0905.871198
0905319539	0905319539
0906. 945 655	0906. 945 655
0906.730.731	0906.730.731
0906.779626	0906.779626
0906116609	0906116609
0906331663	0906331663
0906828598	0906828598
0906941148	0906941148
0907	0907
0907.50.32.23	0907.50.32.23
0907.62.62.15	0907.62.62.15
0907078414	0907078414
0907554452	0907554452
0907585786	0907585786
0907886588	0907886588
0908. 63106	0908. 63106
0908.171786	0908.171786
0908.280599	0908.280599
0908.46.44.46	0908.46.44.46
0908.831616	0908.831616
0908366770	0908366770
0908821223	0908821223
0908906715	0908906715
0909 166 065	0909 166 065
0909 246 873	0909 246 873
0909 265 251	0909 265 251
0909.10 11 17	0909.10 11 17
0909477551	0909477551
0909485909	0909485909
091	091
091 3 378 378	091 3 378 378
091.33	091.33
0912 86	0912 86
0912 86 26 79	0912 86 26 79
0912.198.008	0912.198.008
0912185162	0912185162
0912221	0912221
0912301451	0912301451
0912451248	0912451248
0912699156	0912699156
0912878	0912878
0913.233 686	0913.233 686
0913.410 419	0913.410 419
0913.692403	0913.692403
0913.75.75.09	0913.75.75.09
0913.785 388-	0913.785 388-
0913.889124	0913.889124
0913.899 900	0913.899 900
0913.944384	0913.944384
0913.960	0913.960
0913211347	0913211347
0913342934	0913342934
0913631729	0913631729
0913889	0913889
0914 111599	0914 111599
0914.019.946	0914.019.946
0915 508 269	0915 508 269
0915 950444	0915 950444
0915.342.488	0915.342.488
0915.775190	0915.775190
0915.947.479	0915.947.479
0915327232	0915327232
091555206	091555206
0915731727	0915731727
0915788448	0915788448
0915955122	0915955122
0916240725	0916240725
0916941148	0916941148
0917755288	0917755288
0918.146.080	0918.146.080
0918.387.81	0918.387.81
0918.428033	0918.428033
0918.534457	0918.534457
0918198645	0918198645
0918857037	0918857037
091898255	091898255
0919.258438	0919.258438
0919.340 168	0919.340 168
0919196072	0919196072
0919791942	0919791942
092.680.1981	092.680.1981
0922	0922
0923.522.690	0923.522.690
0923336888	0923336888
0924.557545	0924.557545
093	093
093 646 1868	093 646 1868
093 7755 945	093 7755 945
0931.016.383	0931.016.383
0931.033113	0931.033113
0931033113	0931033113
0931388899	0931388899
0932 540 515 -	0932 540 515 -
0932. 25 43 99	0932. 25 43 99
0932.838577	0932.838577
0932.924.261	0932.924.261
0932513334	0932513334
0932812516	0932812516
0932952732	0932952732
0933 491 090 -	0933 491 090 -
0933.111.3	0933.111.3
0933.33.99.88	0933.33.99.88
0933.520534	0933.520534
0933.785 388	0933.785 388
0933243964	0933243964
0934344228	0934344228
0935	0935
0935 858 989	0935 858 989
0935.372181	0935.372181
0936	0936
0936 657 886	0936 657 886
0937 657 886	0937 657 886
0937.051134	0937.051134
0937.501134	0937.501134
0937005137	0937005137
0938.087979	0938.087979
0938.938.616	0938.938.616
0938.95 17 35	0938.95 17 35
0939 307 898	0939 307 898
0939.041.376	0939.041.376
0939.148169 -	0939.148169 -
0939.256.188	0939.256.188
0939.30	0939.30
0939.427870	0939.427870
0939.737409	0939.737409
0939.789 669	0939.789 669
0939225569	0939225569
0939307898	0939307898
0939427572-	0939427572-
0939536959	0939536959
0939737736	0939737736
094	094
094 201 8668	094 201 8668
094.246.4444	094.246.4444
094.299.1992	094.299.1992
094.309.7777	094.309.7777
094.885.71	094.885.71
0941733333	0941733333
0941936007	0941936007
0942.33.26.26	0942.33.26.26
0943	0943
0943.93.70.39	0943.93.70.39
0944.053	0944.053
0944.053.109	0944.053.109
0944.716.760	0944.716.760
0944.913 285	0944.913 285
0944108575	0944108575
0945	0945
0945.666.134	0945.666.134
0945229579	0945229579
0946.121.412	0946.121.412
0946497799	0946497799
0947 216 882	0947 216 882
0947407707	0947407707
0948.433.113	0948.433.113
0948222629	0948222629
0948708707	0948708707
0949.120.084	0949.120.084
0949120084	0949120084
096 444 8286	096 444 8286
096 5353 442	096 5353 442
096 571 3333	096 571 3333
0962	0962
0962 083 933	0962 083 933
0962 482 388	0962 482 388
0962482388	0962482388
0962972683	0962972683
0963 553 695	0963 553 695
0963 77 44 09	0963 77 44 09
0963.872.333	0963.872.333
0963059319	0963059319
0963774409	0963774409
0964.415.224	0964.415.224
0964.933.666	0964.933.666
09641.909.82	09641.909.82
0965180559	0965180559
0965950772	0965950772
0966 194 430	0966 194 430
0966.312.751	0966.312.751
0966.387693	0966.387693
0966883456	0966883456
0967 827 728	0967 827 728
0967.102.127	0967.102.127
0968 525 569	0968 525 569
0968.013.350	0968.013.350
0968.059060	0968.059060
0968656003	0968656003
0968757532	0968757532
0969.281.808	0969.281.808
0969.44 35 47	0969.44 35 47
0969.694.	0969.694.
0969.694.838	0969.694.838
097.901.652	097.901.652
0971818188	0971818188
0971955955	0971955955
0972 117 927	0972 117 927
0972 347 255	0972 347 255
0972.865.843	0972.865.843
0972.874.772	0972.874.772
0972587067	0972587067
0973	0973
0973.494.878	0973.494.878
0973020650	0973020650
0974.207.339	0974.207.339
0975 133 044	0975 133 044
0975 379 150	0975 379 150
0975.197.927	0975.197.927
0975.260126	0975.260126
0975.84.8668	0975.84.8668
0975.95.85.25	0975.95.85.25
0975672209	0975672209
0976.012.957	0976.012.957
0976.135.385	0976.135.385
0976019598	0976019598
0977.030977	0977.030977
0977.040.040	0977.040.040
0977.219849	0977.219849
0977.269.789	0977.269.789
0977.447.099	0977.447.099
0977.7.00.955	0977.7.00.955
097799 988	097799 988
0978046191	0978046191
0978082268	0978082268
0978150900	0978150900
0979 608 338	0979 608 338
0979.	0979.
0979.456.440	0979.456.440
0979.568.333	0979.568.333
0979133232	0979133232
0979248309	0979248309
09797.66.889	09797.66.889
098	098
098.1126113	098.1126113
098.569.89	098.569.89
098.788	098.788
0982 990 851	0982 990 851
0982.23394	0982.23394
0982.651.524	0982.651.524
0983	0983
0983752166	0983752166
0984.265994	0984.265994
0984.791096	0984.791096
0984.85.86.87	0984.85.86.87
0985.179779	0985.179779
0985.394.992	0985.394.992
0985535933	0985535933
0985838322	0985838322
0986.298 904	0986.298 904
0986602	0986602
0986901192	0986901192
0987	0987
0987 088 789	0987 088 789
0987.700.693	0987.700.693
0988	0988
0988 291 391	0988 291 391
0988.009933	0988.009933
0988.448725	0988.448725
0988.668.6	0988.668.6
0988.77.77.42	0988.77.77.42
0988366305	0988366305
098877740	098877740
0988891208	0988891208
0989	0989
0989 080 212	0989 080 212
0989 531	0989 531
0989 92 9810	0989 92 9810
0989.00.81.82	0989.00.81.82
0989.156.128	0989.156.128
0989.522.690	0989.522.690
0989.856.611	0989.856.611
0989233356	0989233356
0989442299	0989442299
0989601889	0989601889
099	099
0:00h	0:00h
0F	0F
0k	0k
0km	0km
0đ	0đ
1	1
1 155 055	1 155 055
1)Ly	1)Ly
1,	1,
1,3	1,3
1,5Km	1,5Km
1,6	1,6
1,7	1,7
1-	1-
1-5	1-5
1-CT1	1-CT1
1-CT1,	1-CT1,
1.	1.
1.3m	1.3m
1.5	1.5
1.999.0	1.999.0
1.9m	1.9m
1/10/2016	1/10/2016
1/13	1/13
10	10
10%	10%
10)Cẩm	10)Cẩm
10,	10,
10-01	10-01
10.	10.
10.000	10.000
10.000đ	10.000đ
10.10.1954	10.10.1954
10.400	10.400
10.500	10.500
10/3/20	10/3/20
100	100
100%	100%
100%.	100%.
100+	100+
100.000Đ	100.000Đ
100.m	100.m
100/20	100/20
1000	1000
1000Đ	1000Đ
1009.	1009.
100K	100K
100M	100M
100m	100m
101	101
101+954,84	101+954,84
101,	101,
1010	1010
1015	1015
102	102
1022	1022
102333	102333
1028	1028
103	103
103,	103,
103-C4	103-C4
104	104
1049	1049
104°43'	104°43'
105	105
106	106
107	107
107.3	107.3
108	108
108-A12	108-A12
109	109
109'05'0	109'05'0
109/7	109/7
10H	10H
10K	10K
10Km	10Km
10T	10T
10U3	10U3
10h	10h
10h:00	10h:00
10k	10k
10k/c	10k/c
10t	10t
11	11
11)Lay	11)Lay
11,	11,
11.200	11.200
11.500	11.500
110	110
1101	1101
111	111
111'	111'
111.39	111.39
112	112
113	113
114	114
1148	1148
115/1740	115/1740
115g	115g
1173	1173
1177	1177
118	118
119	119
119E	119E
11:00	11:00
11H	11H
11KM	11KM
11Km	11Km
12	12
12%	12%
12)Salem	12)Salem
12+500	12+500
12,	12,
12-1	12-1
12-P1	12-P1
12.200	12.200
12.7	12.7
12.7mm	12.7mm
12.9	12.9
12.991187	12.991187
12/01/2020	12/01/2020
12/04/2018	12/04/2018
120	120
12000	12000
1206/GPHĐ-BOP	1206/GPHĐ-BOP
120A	120A
120K	120K
120g	120g
121	121
122	122
122.80	122.80
123	123
1234	1234
1234567890	1234567890
124	124
125	125
1252	1252
126/35A	126/35A
127	127
127 -	127 -
128	128
128C	128C
129	129
12D	12D
12K	12K
12PA	12PA
12k/c	12k/c
13	13
13 : 00	13 : 00
13)Hướng	13)Hướng
13,	13,
13/06	13/06
13/12/2018	13/12/2018
130	130
1308	1308
130K	130K
131	131
13113	13113
132	132
132G	132G
1360	1360
1375m	1375m
138	138
1385	1385
139	139
139K	139K
13:00-16:30	13:00-16:30
14	14
14,	14,
14-3-1978	14-3-1978
14-3-1988	14-3-1988
140	140
140.82	140.82
141	141
143	143
1433	1433
144	144
1442)	1442)
145	145
145.500	145.500
147.40	147.40
148	148
148B	148B
14:31	14:31
14H	14H
14K	14K
14Km	14Km
15	15
15%	15%
15.000Đ	15.000Đ
15.05.20	15.05.20
15.08.19	15.08.19
15.1	15.1
15.25	15.25
15.8.1945 -	15.8.1945 -
15.8.2015	15.8.2015
15/12/2019	15/12/2019
15/4,	15/4,
150	150
150K	150K
150m	150m
153	153
1541	1541
156	156
157	157
158	158
1585)	1585)
158A	158A
159	159
159.30	159.30
15A	15A
15B	15B
15K	15K
15M	15M
15k	15k
15k/c	15k/c
15km	15km
15m3	15m3
16	16
16 : 00	16 : 00
16-18	16-18
16-18,	16-18,
16.700	16.700
16/12/2013	16/12/2013
160	160
164	164
164.41	164.41
164/74	164/74
168000.VNĐ	168000.VNĐ
169-171	169-171
16:00	16:00
16:20	16:20
16:30	16:30
16H	16H
16H30	16H30
16K	16K
16M	16M
16cm	16cm
17	17
17/12/2016	17/12/2016
17/9	17/9
170	170
170m	170m
171	171
172	172
172,88m	172,88m
17288m	17288m
173	173
17313	17313
1735)	1735)
174	174
175	175
1754 7460	1754 7460
1754 7461	1754 7461
176	176
176K	176K
178	178
1784)	1784)
17:00	17:00
17:40	17:40
17H	17H
17K	17K
18	18
18+	18+
18.000.000Đ	18.000.000Đ
18/12/2019	18/12/2019
180	180
1800	1800
1800 1111	1800 1111
18001277	18001277
18006000	18006000
18006388	18006388
18008098	18008098
1800969690	1800969690
1802)	1802)
1806/127/2/6/15/48A	1806/127/2/6/15/48A
181	181
1813)	1813)
184	184
188	188
188/9	188/9
1890	1890
1898	1898
18B/7	18B/7
18K	18K
18h	18h
18k	18k
19	19
19,	19,
19-02-2019	19-02-2019
19.000đ	19.000đ
190	190
1900 6619	1900 6619
1900 9247	1900 9247
1900 9248	1900 9248
1900.545475	1900.545475
1900.6090	1900.6090
19000109;	19000109;
19001160	19001160
19001288	19001288
1900545454	1900545454
1900556868	1900556868
1900565601	1900565601
19008095	19008095
19009247	19009247
1909	1909
190K	190K
1911	1911
192	192
192.168.115.252	192.168.115.252
1925	1925
1926	1926
193	193
1930	1930
1931):	1931):
194	194
1942)	1942)
1942):	1942):
19442	19442
1945	1945
1945-2015	1945-2015
195	195
195/29	195/29
1950	1950
1955	1955
1956	1956
1959	1959
1960	1960
1963	1963
1965	1965
1966	1966
1972	1972
1975	1975
1977	1977
198	198
199	199
1996	1996
19:	19:
19h30	19h30
1:	1:
1A	1A
1C	1C
1D	1D
1H	1H
1KM	1KM
1Km	1Km
1T	1T
1m	1m
1st	1st
2	2
2%	2%
2(phòng	2(phòng
2)	2)
2)Ly	2)Ly
2,	2,
2,5	2,5
2-	2-
2-2	2-2
2-4-6	2-4-6
2.	2.
2.2m	2.2m
2/26	2/26
2/4/2017	2/4/2017
20	20
20%	20%
20,000	20,000
20-	20-
20.000	20.000
20.000đ	20.000đ
20.11.1982	20.11.1982
20.11.2017	20.11.2017
20/02/2017	20/02/2017
20/06/2013	20/06/2013
20/07	20/07
20/07/2010	20/07/2010
20/10	20/10
20/10/2012	20/10/2012
20/10/2019	20/10/2019
20/11/2015	20/11/2015
200	200
200.000	200.000
200.000đ	200.000đ
200.000đ/c	200.000đ/c
2000	2000
2000Đ	2000Đ
2001	2001
2007	2007
2008	2008
2009	2009
200K	200K
200m	200m
200m)	200m)
201	201
201,	201,
2010	2010
2011	2011
2012	2012
2013	2013
2014	2014
2015	2015
2015!	2015!
2015B	2015B
2016	2016
2017	2017
2017 -	2017 -
2017)	2017)
2018	2018
2018)	2018)
2019	2019
2020	2020
2022	2022
2025	2025
203	203
204	204
207	207
208.47	208.47
209	209
20A8005030	20A8005030
20H	20H
20H30	20H30
20K	20K
20K -	20K -
20KM	20KM
20M	20M
20XAL42Â821	20XAL42Â821
21	21
21 m	21 m
21,	21,
21/06	21/06
21/10/1964)	21/10/1964)
21/4/2019	21/4/2019
210	210
210/4	210/4
214	214
215	215
216B	216B
217	217
2180 m	2180 m
21C	21C
21st	21st
22	22
22 : 00	22 : 00
22 H	22 H
22.000đ	22.000đ
22/02/2020	22/02/2020
22/12/2016)	22/12/2016)
220	220
22000	22000
222	222
2222	2222
223	223
227	227
227.12	227.12
229	229
2293+	2293+
2295	2295
22:00	22:00
22M,	22M,
22h	22h
23	23
23 LÊ THÁNH TÔNG	23 LÊ THÁNH TÔNG
